Downloaded from wid.world on 28-11-2024 at 07:11:19
Percentile ;Year ;"sptinc_z_CA
Pre-tax national income 
Top 10% | share
Canada"
p90p100;2002;0.366
p90p100;2003;0.3695
p90p100;2004;0.3756
p90p100;2005;0.3807
p90p100;2006;0.3838
p90p100;2007;0.3838
p90p100;2008;0.3758
p90p100;2009;0.3588
p90p100;2010;0.3652
p90p100;2011;0.3647
p90p100;2012;0.3582
p90p100;2013;0.3587
p90p100;2014;0.3565
p90p100;2015;0.3539
p90p100;2016;0.3413
p90p100;2017;0.3481
p90p100;2018;0.346
p90p100;2019;0.3438
p90p100;2020;0.3518
p90p100;2021;0.3622
p90p100;2022;0.3622
p90p100;2023;0.3622
